EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
2,14,"[10, 11, 12, 13, 15, 16, 17, 18, 19, 22, 39, 40]","[30, 54]",297.57142857142856
3,2,[],"[6, 63]",272.5
7,4,"[16, 17]","[24, 25]",284.25
18,4,"[40, 41, 63]",[50],290.5
30,6,"[2, 53]","[1, 2, 36, 37]",284.6666666666667
31,3,[22],"[49, 50]",282.3333333333333
37,3,[6],"[31, 52]",294.0
40,4,"[20, 21, 36]",[20],261.25
42,1,[4],[],279.0
47,7,[41],"[5, 7, 10, 11, 54, 56]",279.85714285714283
51,5,"[18, 19, 60, 61]",[28],283.4
52,9,[],"[13, 14, 17, 18, 19, 25, 45, 51, 52]",268.77777777777777
58,7,"[8, 14]","[27, 30, 40, 41, 58]",289.14285714285717
65,7,"[44, 45]","[43, 44, 45, 46, 47]",307.14285714285717
68,6,"[50, 51, 55, 56]","[44, 45]",282.6666666666667
69,5,"[7, 8, 9, 40]",[33],341.2
71,4,"[32, 42]","[57, 62]",310.75
72,3,"[20, 21]",[61],304.0
78,6,"[1, 23, 24, 28]","[58, 60]",321.1666666666667
81,3,[],"[42, 56, 57]",245.66666666666666
82,5,"[22, 23]","[24, 25, 49]",241.6
84,5,"[3, 23]","[38, 39, 59]",317.4
91,9,"[2, 63]","[2, 3, 8, 27, 28, 43, 55]",293.1111111111111
95,5,"[0, 7, 8, 18]",[18],310.2
97,3,[19],"[42, 43]",248.66666666666666
102,11,[27],"[25, 26, 34, 35, 36, 37, 39, 53, 59, 60]",280.72727272727275
103,5,[],"[19, 20, 40, 54, 58]",274.4
105,4,"[29, 33, 40]",[8],300.75
112,8,"[11, 50]","[10, 11, 16, 32, 33, 34]",260.125
115,9,"[0, 1]","[3, 7, 8, 9, 19, 20, 23]",367.77777777777777
122,24,"[17, 58]","[10, 11, 13, 36, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59]",291.4583333333333
123,4,"[33, 41]","[16, 39]",294.75
130,3,[],"[58, 59, 60]",341.0
